NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea de Joc Infantil a la Plaça de Teresa Claramunt,Pl Teresa Claramunt,3,Sants-Montjuïc,41.36276390981448,2.1397733818435
Àrea de Joc Infantil a la Plaça Comas,Pl Comas,4,Les Corts,41.38543236406748,2.129670639221422
Àrea de Joc Infantil a Mare de Déu de Núria - Salvador Mundi - Via Augusta - Passeig de la Bonanova,Via Augusta,5,Sarrià-Sant Gervasi,41.4001199426155,2.1231460512846074
Àrea de Joc Infantil a la Plaça Joan Cornudella,Pl Joan Cornudella,7,Horta-Guinardó,41.4340511736248,2.148601962043365
Àrea de Joc Infantil a la Plaça Carles Cardó i Sanjoan,Pl Carles Cardó i Sanjoan,7,Horta-Guinardó,41.42127166378029,2.17868735456391
Àrea de Joc Infantil a la Plaça Castelao,Pl Castelao,7,Horta-Guinardó,41.430447754912095,2.163923618939851
Àrea de Joc Infantil,Pl Major de Nou Barris,8,Nou Barris,41.4368445525108,2.1712296246319656
Àrea de Joc Infantil,C Lloret de Mar,7,Horta-Guinardó,41.4363032747682,2.1578240406820526
Àrea de Joc Infantil,C Llobregós,7,Horta-Guinardó,41.42263370942472,2.1533099998848826
Àrea de Joc Infantil,C Arquitectura,7,Horta-Guinardó,41.42951434315782,2.1433808764603213
Àrea de Joc Infantil,C Ferran Junoy,9,Sant Andreu,41.44476861781848,2.196340895887908
Àrea de Joc Infantil,C Sant Antoni Maria Claret,10,Sant Martí,41.41426519749023,2.1785970770178253
Àrea de Joc Infantil,Carrer de la Selva de Mar,10,Sant Martí,41.4047170482129,2.213498149079968
Àrea de Joc Infantil a la Plaça Eduard Torroja,Pl Eduard Torroja,10,Sant Martí,41.414918834225375,2.1995920058280825
Àrea de Joc Infantil a Josep Pla - Pallars - Agricultura,C Pallars,10,Sant Martí,41.41154562057904,2.211172949252799
Àrea de Joc Infantil,C Sant Salvador,6,Gràcia,41.40782802932537,2.15485770497207
Àrea de Joc Infantil,C Rocafort,2,Eixample,41.38531232662537,2.145510456433632
Àrea de Joc Infantil a la Plaça Doctor Letamendi,Pl Doctor Letamendi,2,Eixample,41.38858477541762,2.161095138073648
Àrea de Joc Infantil,Passatge del Rector Oliveras,2,Eixample,41.39479752399747,2.1678356444626248
Àrea de Joc Infantil,C Rosselló,2,Eixample,41.39042902342672,2.153310756563919
Àrea de Joc Infantil,C Sepúlveda,2,Eixample,41.379101997662175,2.1572143500048733
Àrea de Joc Infantil,C Roger de Llúria,2,Eixample,41.39824492278454,2.1623124085479986
Àrea de Joc Infantil a Felanitx - Alcúdia - Valldemossa,C Alcúdia,8,Nou Barris,41.43546133638405,2.1738376640793367
Àrea de Joc Infantil a Hondures - Palència - Josep Estivill,C Hondures,9,Sant Andreu,41.41946272473475,2.190253348838779
Àrea de Joc Infantil a Pare Pérez del Pulgar - Vicenç Montal,C Vicenç Montal,9,Sant Andreu,41.45391291486951,2.19366455620702
Àrea de Joc Infantil a la Plaça de la Vidriera,Pl Vidriera,3,Sants-Montjuïc,41.3726617334399,2.1413560640159464
Àrea de Joc Infantil als Jardins Jaume Ferran i Clua,C Garcilaso,9,Sant Andreu,41.4236781404916,2.178462157973756
Àrea de Joc Infantil a la Plaça Espronceda,C Espronceda,10,Sant Martí,41.41019373878194,2.197642275486965
Àrea de Joc Infantil a la Plaça de La Verneda,C Puigcerdà,10,Sant Martí,41.423689838620895,2.200674235765829
Àrea de Joc Infantil a la Plaça Salvador Allende,Pl Salvador Allende,7,Horta-Guinardó,41.42082854474279,2.151644885605532
Àrea de Joc Infantil a la Plaça de la Madrona Prat,Pl Madrona Prat,7,Horta-Guinardó,41.4272554562106,2.135617873100663
Àrea de Joc Infantil a Riera de Sant Andreu - Rubèn Dario,Rier Sant Andreu,9,Sant Andreu,41.43471795997127,2.1858425535165287
Àrea de Joc Infantil a Cinca,C Cinca,9,Sant Andreu,41.43916386950136,2.1919230362280784
Àrea de Joc Infantil a la Plaça del Treballadors i Treballadores de la Harry Walker,Pg Valldaura,8,Nou Barris,41.439405530805125,2.1812979222998994
Àrea de Joc Infantil a la Plaça Olof Palme,C Sant Iscle,8,Nou Barris,41.4341191500433,2.170298157500091
Àrea de Joc Infantil a la Plaça Gabriel Alomar,Pl Gabriel Alomar,8,Nou Barris,41.437392806602425,2.182074633440646
