NAME,CREATED,ROAD,addresses_district_id,addresses_district_name,LATITUDE,LONGITUDE
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Còrsega,2014,C Muntaner,2.0,Eixample,41.39138745499209,2.15297392171799
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Plató,2014,C Muntaner,5.0,Sarrià-Sant Gervasi,41.39998930506088,2.141579428359965
Fàbrica de Creació Ateneu Popular 9 Barris,1988,C Portlligat,8.0,Nou Barris,41.44877310192653,2.180410246679443
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Esportiu Municipal Trinitat Vella,1989,Via Bàrcino,9.0,Sant Andreu,41.451474639572886,2.1931301317422927
Centre Cultural La Casa Elizalde,1984,Carrer de València,2.0,Eixample,41.39451897581476,2.165900883899018
Centre Cultural La Casa Elizalde,1984,Carrer de València,2.0,Eixample,41.39451897581476,2.165900883899018
Museu d'Art Contemporani de Barcelona,1994,Pl Àngels,1.0,Ciutat Vella,41.38322313755374,2.166969712908759
Museu d'Art Contemporani de Barcelona,1994,Pl Àngels,1.0,Ciutat Vella,41.38322313755374,2.166969712908759
Museu d'Art Contemporani de Barcelona,1994,Pl Àngels,1.0,Ciutat Vella,41.38322313755374,2.166969712908759
Centre Cívic Josep Maria Trias i Peitx,2000,Riera Blanca,4.0,Les Corts,41.37780921625306,2.121779134621021
Centre Cívic Josep Maria Trias i Peitx,2000,Riera Blanca,4.0,Les Corts,41.37780921625306,2.121779134621021
Espai de Gent Gran Sant Antoni,1991,C Comte Borrell,2.0,Eixample,41.37741627114468,2.1627959464021846
Espai de Gent Gran Sant Antoni,1991,C Comte Borrell,2.0,Eixample,41.37741627114468,2.1627959464021846
Ludoteca Maria Gràcia Pont,1996,Rbla Poblenou,10.0,Sant Martí,41.40195531188363,2.1999581880082264
Ludoteca Maria Gràcia Pont,1996,Rbla Poblenou,10.0,Sant Martí,41.40195531188363,2.1999581880082264
Mercat de La Concepció,1984,Carrer d'Aragó,2.0,Eixample,41.39556815947775,2.169071648271845
Mercat de La Concepció,1984,Carrer d'Aragó,2.0,Eixample,41.39556815947775,2.169071648271845
Espai Jove Garcilaso,1999,C Garcilaso,9.0,Sant Andreu,41.42263560544463,2.1862316852898918
Casal de Gent Gran Joan Casanelles,2006,C Concili de Trento,10.0,Sant Martí,41.411654002846696,2.1928845041999008
Casal de Gent Gran Joan Casanelles,2006,C Concili de Trento,10.0,Sant Martí,41.411654002846696,2.1928845041999008
Centre Cívic La Sedeta,1984,Carrer de Sicília,6.0,Gràcia,41.40557651201225,2.167687591797475
Centre Cívic La Sedeta,1984,Carrer de Sicília,6.0,Gràcia,41.40557651201225,2.167687591797475
Jardí de les Escultures *Annex Edifici Fundació Joan Miró,1990,Av Miramar,3.0,Sants-Montjuïc,41.36829226182124,2.1601492925476364
Jardí de les Escultures *Annex Edifici Fundació Joan Miró,1990,Av Miramar,3.0,Sants-Montjuïc,41.36829226182124,2.1601492925476364
Casal de Gent Gran Sant Cristòfol,2001,C Bronze,3.0,Sants-Montjuïc,41.35803481074543,2.1352119680510184
Casal de Gent Gran Sant Cristòfol,2001,C Bronze,3.0,Sants-Montjuïc,41.35803481074543,2.1352119680510184
Centre Cívic Besòs,1993,Rambla de Prim,10.0,Sant Martí,41.41634059080285,2.211497717250588
Centre Cívic Besòs,1993,Rambla de Prim,10.0,Sant Martí,41.41634059080285,2.211497717250588
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Centre Esportiu Municipal Aiguajoc Borrell,1996,C Comte Borrell,2.0,Eixample,41.37640395525677,2.163762539235644
Jardins de Vil·la Florida,2005,C Muntaner,5.0,Sarrià-Sant Gervasi,41.40536533899808,2.135308972460361
Jardins de Vil·la Florida,2005,C Muntaner,5.0,Sarrià-Sant Gervasi,41.40536533899808,2.135308972460361
Centre Cultural Can Fabra,2002,C Segre,9.0,Sant Andreu,41.43419681654932,2.191178054099438
Punt de connexió Barcelona WiFi a la Plaça Molina,2012,Pl Molina,5.0,Sarrià-Sant Gervasi,41.40125374343485,2.147137342670244
Punt de connexió Barcelona WiFi a la cruïlla de la Rambla de Catalunya amb l'Avinguda Diagonal,2012,Av Diagonal,2.0,Eixample,41.39586484265992,2.1572848524128228
Punt de connexió Barcelona WiFi a la cruïlla del carrer Rosari amb Via Augusta,2012,C Rosari,5.0,Sarrià-Sant Gervasi,41.3977535184911,2.131512114799857
Torre Jussana - Centre de Serveis a les Associacions,1987,Av Cardenal Vidal Barraquer,7.0,Horta-Guinardó,41.42969190027591,2.15131477992075
Punt de connexió Barcelona WiFi a la cruïlla del carrer de Feliu i Codina amb Passeig Valldaura,2014,C Feliu i Codina,8.0,Nou Barris,41.43909057465926,2.1649602157036525
Centre Cívic Casa Golferichs,1984,Gran Via de les Corts Catalanes,2.0,Eixample,41.3808491471351,2.1564074948215346
Centre Cívic Casa Golferichs,1984,Gran Via de les Corts Catalanes,2.0,Eixample,41.3808491471351,2.1564074948215346
Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb el carrer Pujades,2014,C Llacuna,10.0,Sant Martí,41.40051950408717,2.199507573261947
Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb Doctor Trueta,2014,C Llacuna,10.0,Sant Martí,41.39792097282805,2.203002910532537
Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb Llull,2014,C Selva de Mar,10.0,Sant Martí,41.40833239769161,2.2100420005777868
Casal de Gent Gran Pati Llimona,1985,Correu Vell,1.0,Ciutat Vella,41.38167196970871,2.1797346825803365
Casal de Gent Gran Pati Llimona,1985,Correu Vell,1.0,Ciutat Vella,41.38167196970871,2.1797346825803365
Casal de Gent Gran Comerç,1985,C Rec,1.0,Ciutat Vella,41.38609632456878,2.1822927949122124
Casal de Gent Gran Comerç,1985,C Rec,1.0,Ciutat Vella,41.38609632456878,2.1822927949122124
Espai de Gent Gran  El Polvorí,1985,Carrer del Guadalquivir,3.0,Sants-Montjuïc,41.36362191725007,2.1411653630200176
Espai de Gent Gran  El Polvorí,1985,Carrer del Guadalquivir,3.0,Sants-Montjuïc,41.36362191725007,2.1411653630200176
Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el carrer Carme,2012,C la Rambla,1.0,Ciutat Vella,41.38301473433527,2.171757570135389
Punt de connexió Barcelona WiFi a la cruïlla del carrer Pas Sota Muralla amb el Passeig d'Isabel II,2012,Pas Sota Muralla,1.0,Ciutat Vella,41.38118980326311,2.1823939091749125
Punt de connexió Barcelona WiFi a la cruïlla del carrer Sardenya amb Provença,2012,C Sardenya,2.0,Eixample,41.403631821681074,2.1729044630047105
Punt de connexió Barcelona WiFi a la cruïlla del carrer Marina amb Mallorca,2012,C Mallorca,2.0,Eixample,41.403817962231,2.175815616715429
Punt de connexió Barcelona WiFi a la cruïlla del carrer Thous amb el carrer Josep Ciurana,2014,C Thous,7.0,Horta-Guinardó,41.41384764838958,2.1674316560408755
Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb carrer Raset,2014,C Vallmajor,5.0,Sarrià-Sant Gervasi,41.39846208901378,2.1386852252840747
Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb carrer Reina Victoria,2014,C Vallmajor,5.0,Sarrià-Sant Gervasi,41.39674456191916,2.1388072234545072
Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Travessera de Gràcia,2014,Via Augusta,5.0,Sarrià-Sant Gervasi,41.39831421552623,2.1532361007994347
Punt de connexió Barcelona WiFi a la cruïlla del carrer Vergós amb Plaça Artós,2014,C Vergós,5.0,Sarrià-Sant Gervasi,41.39617430812726,2.126034596657246
Punt de connexió Barcelona WiFi a la cruïlla dels carrers Viladomat amb c. Consell de Cent,2014,C Viladomat,2.0,Eixample,41.38199491343936,2.154117298849488
Punt de connexió Barcelona WiFi a la cruïlla dels carrers Viladomat amb carrer Aragó,2014,C Viladomat,2.0,Eixample,41.383245089948765,2.152462361362509
Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Buenos Aires,2014,C Villarroel,2.0,Eixample,41.39237166029368,2.1475065906092508
Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer València,2014,C Villarroel,2.0,Eixample,41.38640144744309,2.1554200161200305
Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Cartagena,2014,C Aragó,2.0,Eixample,41.405542850404046,2.182319182690653
Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Roger de Llúria,2014,C Aragó,2.0,Eixample,41.394580031201095,2.167794566870944
Centre Cívic Can Felipa,1991,Plaça de Josep Maria Huertas Claveria,10.0,Sant Martí,41.40367975860696,2.20050971216533
Centre Cívic Can Felipa,1991,Plaça de Josep Maria Huertas Claveria,10.0,Sant Martí,41.40367975860696,2.20050971216533
Punt de connexió Barcelona WiFi a la cruïlla del carrer del Comte d'Urgell amb Còrsega,2014,C Comte d'Urgell,2.0,Eixample,41.38905202099522,2.149763110696664
Punt de connexió Barcelona WiFi a la cruïlla del carrer Taxdirt amb Sardenya,2014,C Taxdirt,6.0,Gràcia,41.40892204440249,2.165764631997059
Punt de connexió Barcelona WiFi a la cruïlla dels carrers Entença amb carrer del Consell de Cent,2014,C Entença,2.0,Eixample,41.37944511035669,2.1507131940903763
Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb carrer del Dos de Maig,2014,C Indústria,2.0,Eixample,41.41086084023397,2.1763233301349656
Centre Cívic Casinet d'Hostafrancs,1984,Carrer del Rector Triadó,3.0,Sants-Montjuïc,41.37785807405672,2.1432215181756806
Centre Cívic Casinet d'Hostafrancs,1984,Carrer del Rector Triadó,3.0,Sants-Montjuïc,41.37785807405672,2.1432215181756806
Casal de Barri Font d'en Fargues,1991,C Pedrell,7.0,Horta-Guinardó,41.424333431530485,2.16524810902057
Casal de Barri Font d'en Fargues,1991,C Pedrell,7.0,Horta-Guinardó,41.424333431530485,2.16524810902057
Punt de connexió Barcelona WiFi a la cruïlla del carrer Pau Claris amb carrer Còrsega,2014,C Pau Claris,2.0,Eixample,41.39731221004057,2.160932173010841
Punt de connexió Barcelona WiFi a la cruïlla de la Rambla de Prat amb el carrer Gran de Gràcia,2014,Rbla Prat,6.0,Gràcia,41.4018619863958,2.152769925875062
Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb el carrer Lepant,2014,Rda Guinardó,7.0,Horta-Guinardó,41.41237200895032,2.166091502626774
Punt de connexió Barcelona WiFi a la cruïlla del carrer Sicília amb el carrer Consell de Cent,2014,C Sicília,2.0,Eixample,41.39938383553342,2.1762547583718184
Punt de connexió Barcelona WiFi a la cruïlla del carrer Santa Rosa amb el carrer Gran de Gràcia,2014,C Santa Rosa,6.0,Gràcia,41.40329143270043,2.152887344839228
Casal de Gent Gran de Sant Martí,1985,Carrer de la Selva de Mar,10.0,Sant Martí,41.416655162890336,2.1985817268755223
Casal de Gent Gran de Sant Martí,1985,Carrer de la Selva de Mar,10.0,Sant Martí,41.416655162890336,2.1985817268755223
Casal de Gent Gran Taulat - Can Saladrigas,1985,C Llull,10.0,Sant Martí,41.401914106420726,2.203528910844115
Casal de Gent Gran Taulat - Can Saladrigas,1985,C Llull,10.0,Sant Martí,41.401914106420726,2.203528910844115
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Calaf,2014,C Muntaner,5.0,Sarrià-Sant Gervasi,41.3976594641527,2.144696692905894
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Descartes,2014,C Muntaner,5.0,Sarrià-Sant Gervasi,41.39955434030976,2.1421582225388
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Rector Ubach,2014,C Muntaner,5.0,Sarrià-Sant Gervasi,41.39821522206376,2.143944759255802
Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Diputació,2014,C Nàpols,2.0,Eixample,41.397318518910886,2.1767154740133754
Punt de connexió Barcelona WiFi a la cruïlla del Passeig Maragall amb c. de Sant Antoni Maria Claret,2014,Pg Maragall,10.0,Sant Martí,41.41574157238098,2.180738533712315
Punt de connexió Barcelona WiFi a la cruïlla de la Ronda Guinardo amb Edifici d'aigua,2014,Rda Guinardó,7.0,Horta-Guinardó,41.41279780128245,2.166481155557753
Palau de la Música Catalana,1988,C Palau de la Música,1.0,Ciutat Vella,41.38736310291296,2.1751754135417323
Casal de Gent Gran de la Trinitat Nova,1989,Carrer de Platja d'Aro,8.0,Nou Barris,41.448783645252206,2.187247457100886
Casal de Gent Gran de la Trinitat Nova,1989,Carrer de Platja d'Aro,8.0,Nou Barris,41.448783645252206,2.187247457100886
Casal de Gent Gran Montmany,1990,C Montmany,6.0,Gràcia,41.4050523058095,2.159179223131068
Casal de Gent Gran Montmany,1990,C Montmany,6.0,Gràcia,41.4050523058095,2.159179223131068
Sala Jove de Baró de Viver,2010,Pg Santa Coloma,9.0,Sant Andreu,41.44814919238835,2.199094780328391
Centre d'Informació i Assessorament per a Joves,1988,C Sant Oleguer,1.0,Ciutat Vella,41.3775251566284,2.1706424820733963
Parc de l'Espanya Industrial,1986,Carrer de Muntadas,3.0,Sants-Montjuïc,41.37653564822331,2.139874006322372
Parc de l'Espanya Industrial,1986,Carrer de Muntadas,3.0,Sants-Montjuïc,41.37653564822331,2.139874006322372
Centre Cívic Casa Orlandai,2007,Carrer de Jaume Piquet,5.0,Sarrià-Sant Gervasi,41.39835999770311,2.1246720318706647
Centre Cívic Casa Orlandai,2007,Carrer de Jaume Piquet,5.0,Sarrià-Sant Gervasi,41.39835999770311,2.1246720318706647
Park Güell,1987,Carrer d'Olot,6.0,Gràcia,41.41350924872243,2.1531271963876573
Park Güell,1987,Carrer d'Olot,6.0,Gràcia,41.41350924872243,2.1531271963876573
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Centre Esportiu Municipal Guinardó,2005,C Telègraf,7.0,Horta-Guinardó,41.416979061800994,2.1737722486271203
Parc del Laberint d'Horta,1985,Pg Castanyers,7.0,Horta-Guinardó,41.4379570487644,2.1475613087947543
Parc del Laberint d'Horta,1985,Pg Castanyers,7.0,Horta-Guinardó,41.4379570487644,2.1475613087947543
Centre Cívic Can Deu,1986,Plaça de la Concòrdia,4.0,Les Corts,41.38679400774151,2.1325216465394625
Centre Cívic Can Deu,1986,Plaça de la Concòrdia,4.0,Les Corts,41.38679400774151,2.1325216465394625
Centre Cívic Casa Groga,1991,Avinguda del Jordà,7.0,Horta-Guinardó,41.42689816008589,2.1374633929572053
Centre Cívic Casa Groga,1991,Avinguda del Jordà,7.0,Horta-Guinardó,41.42689816008589,2.1374633929572053
Casal de Gent Gran Joan Maragall,1990,C Bermejo,10.0,Sant Martí,41.413443683700464,2.217538308256468
Casal de Gent Gran Joan Maragall,1990,C Bermejo,10.0,Sant Martí,41.413443683700464,2.217538308256468
Consell de la Joventut Districte Horta-Guinardó,1988,Pl Eivissa,7.0,Horta-Guinardó,41.43074031284582,2.1610222031623985
Complex Esportiu Municipal Olímpia,1991,C Perú,10.0,Sant Martí,41.41288273565778,2.201376087453191
Complex Esportiu Municipal Olímpia,1991,C Perú,10.0,Sant Martí,41.41288273565778,2.201376087453191
Complex Esportiu Municipal Olímpia,1991,C Perú,10.0,Sant Martí,41.41288273565778,2.201376087453191
Complex Esportiu Municipal Olímpia,1991,C Perú,10.0,Sant Martí,41.41288273565778,2.201376087453191
Centre Esportiu Municipal la Bordeta,2005,C Noguera Pallaresa,3.0,Sants-Montjuïc,41.372137142800845,2.139359752043456
Centre Esportiu Municipal la Bordeta,2005,C Noguera Pallaresa,3.0,Sants-Montjuïc,41.372137142800845,2.139359752043456
Centre Esportiu Municipal la Bordeta,2005,C Noguera Pallaresa,3.0,Sants-Montjuïc,41.372137142800845,2.139359752043456
