register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿92086012029,Àrea de Joc Infantil a la Plaça de Miquel Casablancas i Joanico,,,1985-04-04T00:00:00+02:00,2021-05-04T12:33:12.933798+02:00,,,105552,C Dragó,20,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432020.21157143696,4587822.282234394,41.43909636242605,2.1862730085834783
﻿92086012272,Àrea de Joc Infantil a Via Augusta - Passeig de la Bonanova,,,1985-04-16T00:00:00+02:00,2021-05-04T12:34:15.069294+02:00,,,028000,Via Augusta,335,,23,Sarrià,05,Sarrià-Sant Gervasi,08017,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,426702.64110071026,4583546.645799581,41.4001199426155,2.1231460512846074
﻿92086012299,Àrea de Joc Infantil a la Placeta Josep Maria Jaén,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:23.446460+02:00,,,349808,Pg Urrutia,94,,46,el Turó de la Peira,08,Nou Barris,08031,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430676.6737058199,4587349.050571871,41.43471928004142,2.170246576143928
﻿92086012302,Àrea de Joc Infantil a la Plaça Garrigó,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:25.817805+02:00,,,141308,Pl Garrigó,1,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431528.4965712923,4586698.447084309,41.42893260963168,2.180515014087527
﻿92086012303,Àrea de Joc Infantil,99400354562,Parc Plaça de Sóller,1985-04-15T00:00:00+02:00,2021-05-04T12:33:26.658468+02:00,,,327703,Pl Sóller,1,,45,Porta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431252.3551467488,4587212.719017523,41.43354088046919,2.1771519171502733
﻿99400343753,Àrea de Joc Infantil,92086011981,Jardins Voltes d'en Cirés,2014-05-27T00:00:00+02:00,2021-05-04T12:35:50.475754+02:00,,,086902,C Nou de la Rambla,63,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430803.8807815508,4580975.808748594,41.37732863079317,2.172497660823819
﻿99400343804,Àrea de Joc Infantil a la Plaça Allada-Vermell,,,2014-05-28T12:19:36+02:00,2021-05-04T12:35:59.666085+02:00,,,012906,C Allada-Vermell,2,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431485.37293600413,4582050.466398992,41.387066081104955,2.1805251737601914
﻿92086038624,Área de Joc Infantil a Felip II - Garcilaso - Concepció Arenal,,,1992-03-06T00:00:00+01:00,2021-05-04T12:35:17.933144+02:00,,,121402,C Felip II,140,,62,el Congrés i els Indians,09,Sant Andreu,08027,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431753.8815083036,4586082.822129219,41.42340707040116,2.1832817057545095
﻿92086012477,Àrea de Joc Infantil a Alcalà de Guadaira,,,1985-04-23T00:00:00+02:00,2021-05-04T12:35:03.476509+02:00,,,006302,C Alcalá de Guadaira,10,,72,Sant Martí de Provençals,10,Sant Martí,08020,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432895.6795587087,4585401.776995858,41.4173692878322,2.1970201533773612
﻿92086012500,Àrea de Joc Infantil a la Plaça Font de la Mulassa,,,1985-04-24T00:00:00+02:00,2021-05-04T12:35:12.660874+02:00,,,136603,Pl Font de la Mulassa,8,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430045.31113552215,4585893.311627297,41.42155326771743,2.1628588105487974
﻿92086012506,Àrea de Joc Infantil al Grup Juan Antonio Parera,,,1985-04-24T00:00:00+02:00,2021-05-04T12:35:10.901910+02:00,,,208205,C Menorca,1,,72,Sant Martí de Provençals,10,Sant Martí,08020,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432745.1579951868,4585527.886736651,41.41849253556641,2.1952051391754104
﻿99400355361,Àrea de Joc Infantil,99400355356,Parc Lineal Garcia Fària,2014-10-09T00:00:00+02:00,2021-05-04T12:37:21.365361+02:00,,,700892,Pg Garcia Fària,2,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,434258.05764160084,4583801.246869496,41.403066337607626,2.2134949655285365
